Canada,loonies
botany,stigma
boxing,crosser;swords;ko;cross;uppercuts;uppercut;kos
golf,pinned;pin;holing;hazards;pitches;hazard;pinning;pitching;pitch;hole;holed
disapproving,bigots;whitewashing;jingoistic;whitewashed;opportunist;diktat;profiteering;whitewash;sensationalism;opportunistic;sop;overkill;degenerate;diktats;decadence;sharks;parodies;bigot;snobbery;farce;drunkards;racism;snot;pedantic;snots;parodying;racist;commercialism;opportunists;nepotism;snob;platitudes;underlings;degeneration;crony;infidel;parodied;reactionary;cliques;hypocritical;exhibitionism;ostentation;henchmen;clique;posturing;histrionics;sensationalist;nouveau;hypocrite;degenerated;opportunism;farcical;cronyism;lackey;demagogue;womaniser;whitewashes;infidels;racists;riche;wringing;hypocrites;cronies;chauvinism;parody
humorous,rump;posterior
Scotland,bairns;loch;lochs;kirk
biology,mutant;vertebrates;ink;community;mollusc;receptor;conifer;spores;serum;amino;ovum;inked;vertebrate;receptors;pheromone;mutants;genes;conifers;pupae;egging;communities;pheromones;gene;microorganisms;egged;colouration;lays;genus;photosynthesis;order;egg
Christianity,redemptive;redemption
weather,highest;highs;high;fronting;fronted;lows;front;'high;'low;depression;low
art,studying;study
linguistics,aspirated;syntax;forms;combining;morphology;semantics
basketball,dunk;pivots;buckets;bucket;pivoted;dribbles;pivot
psychology,denial;projection;obsessives;obsessively;ids;i'd;projections;'i'd;denials;obsessive;id
computers,framed;application;tagged;instruction;protocol;tiniest;uploading;peripheral;chomping;packet;worm;looping;tag;pieces;url;frame;loop;loops;networks;recognition;utility;usb;defaulters;memories;megabits;defaulting;apps;menus;smallest;tagging;memory;microchip;app;uploaded;printers;applications;threads;defaulted;bit;champing;protocols;instructions;threaded;thread;default;macro;isp;packets;upload;microchips;threading;uploads;defaults;intranet;slightest;framing
